"","ssp.indifference.consistent","ssf.indifference.consistent","slf.indifference.consistent","slp.indifference.consistent","tdsp.indifference.consistent","tdlp.indifference.consistent","tdsf.indifference.consistent","tdlf.indifference.consistent"
"comparison.shop",0.09,0.1,-0.03,0.06,-0.1,-0.16,0,0.07
"bills.on.time",0.13,0.01,0.02,0.13,0.07,0.04,0.03,0.11
"monthly.expense.record",-0.02,0.01,-0.1,-0.06,0.2,0.18,0.14,0.18
"within.budget",0.1,0,0.01,0.02,0.19,0.09,0.17,0.19
"credit.infull",-0.1,-0.14,-0.08,-0.03,0.02,0.07,0.1,0
"maxout.creditcard",0.26,0.22,0.31,0.22,0.07,0.04,0.1,0.04
"minimum.on.loan",0.08,0.06,0.11,0.06,0.04,0.07,0.18,0.07
"maintain.emergency.fund",-0.01,-0.12,-0.03,-0.06,0.2,0.13,0.01,0.05
"save.money.paycheck",-0.05,-0.14,-0.13,-0.07,0.18,0.06,0.24,0.06
"save.longterm.goal",-0.02,-0.19,-0.15,-0.04,0.15,0.11,0.11,0.11
"save.retirement",-0.04,-0.03,-0.07,-0.07,0.06,0.11,-0.15,-0.06
"bought.stock",-0.04,-0.01,-0.06,-0.06,-0.04,0.11,-0.15,-0.04
"health.insurance",0.07,0,0.03,0.17,0.08,0.18,0.02,-0.05
"property.insurance",0.16,0.12,0.12,0.21,0.09,0.22,-0.02,0.07
"life.insurance",-0.02,-0.06,-0.1,0,0.1,0.21,0.02,0.13
"smartphone.warenty",0.17,0.13,0.11,0.2,0.13,0.13,0.15,0.18
"OverallFMS",0.06,-0.03,-0.02,0.06,0.16,0.2,0.09,0.1
"FMS_F1.saving",-0.04,-0.12,-0.11,-0.08,0.14,0.13,0.01,0.03
"FMS_F2.insurance",0.08,0.03,0.02,0.15,0.1,0.24,0.01,0.06
"FMS_F3.budget",0.09,0.03,-0.05,0.04,0.15,0.08,0.13,0.19
"FMS_F4.credit",0.09,0.04,0.13,0.1,0.06,0.09,0.18,0.05
"vape",-0.12,-0.01,-0.03,-0.07,0.14,0.12,0.01,0.14
"smoke",0.15,0.22,0.18,0.14,0.05,0.05,-0.02,0.03
"alcohol",-0.04,-0.04,-0.07,-0.11,0.05,0.09,0.05,-0.02
"alcohol.age",-0.2,-0.18,-0.2,-0.25,-0.21,-0.22,-0.21,-0.24
"caffeine",0.14,0.22,0.29,0.13,-0.07,-0.12,0,0
"marijuana",-0.17,0.07,0.01,-0.08,-0.12,-0.25,-0.07,-0.06
"gamble",0.02,0.07,0.01,-0.02,0.12,-0.03,0.14,0.02
"smoke.age",-0.07,-0.23,-0.28,-0.11,0.34,0.15,0.25,0.07
"passed.out.from.drinking",-0.14,-0.12,-0.05,-0.24,0.01,-0.06,-0.14,-0.11
"register.vote",0.15,0.16,0.21,0.06,-0.09,-0.11,-0.06,0.01
"attention.to.politics",0.02,0.11,-0.04,0.06,-0.14,-0.14,-0.12,-0.13
"senate",0.22,0.08,0.14,0.19,0.15,0.05,0.19,0.18
"donate.campaign",0.01,0.02,0.19,0,0.05,0.12,0.08,0.07
"music.tax",-0.03,-0.16,-0.11,-0.06,0.15,0.19,0.13,0.11
"green.tax",-0.15,-0.09,-0.06,-0.02,-0.05,-0.11,0.01,-0.12
"ideology",0.03,-0.07,-0.03,-0.06,0.07,0.08,0.09,0.11
"vote",0.08,-0.06,0.01,0.01,0.33,0.18,0.33,0.25
"vote.early",0.25,0.24,0.38,0.28,-0.09,-0.23,-0.07,-0.11
"arrested",0.07,0.05,0.08,0.12,-0.09,-0.02,0.03,-0.06
"speedingtickets",-0.11,0.05,0.04,-0.08,-0.25,-0.19,-0.15,-0.23
"caraccident",-0.28,-0.1,-0.12,-0.23,0.14,-0.18,-0.08,0.11
"wealth.comparison",0.04,0.04,0.08,0.1,-0.08,-0.21,-0.06,-0.11
"sustain.self",-0.22,-0.18,-0.27,-0.25,-0.19,-0.2,-0.09,-0.25
"income.saved.percent",-0.06,-0.08,-0.16,-0.12,0.02,0.14,-0.09,0.01
"creditcard.late",0,0.1,0.06,0.01,-0.03,0.01,-0.06,0
"payday.lending",0.27,0.26,0.38,0.34,0.01,0.04,-0.01,0.14
"sustainable.goods",0.09,0.08,0.13,0.11,-0.04,-0.02,0.05,0.05
"actual.saved",0.06,-0.01,-0.05,0.01,0.25,0.23,0.14,0.15
"actual.debt",-0.19,-0.05,-0.15,-0.17,-0.18,-0.04,-0.3,-0.13
"prescription",-0.1,0.04,0,-0.1,0.01,0.09,0.03,-0.01
"fastfood",-0.1,-0.1,-0.07,-0.07,-0.09,-0.11,0.09,-0.03
"dentalstatus",-0.09,-0.02,-0.09,-0.09,0.01,-0.1,0.02,0.01
"exercise",0,-0.12,-0.06,-0.05,0.18,0.13,0.07,0.15
"vaccination",0.05,-0.04,0.05,0.03,0.01,-0.12,0.03,-0.05
"washinghands",-0.07,-0.11,-0.09,-0.1,-0.03,-0.06,-0.04,-0.05
"television",0.02,-0.04,-0.14,-0.06,-0.17,0.01,-0.04,-0.14
"high.adreneline",-0.18,-0.13,-0.28,-0.28,0.06,0.22,0.03,0.11
"physical.fight",-0.1,-0.11,-0.07,-0.15,0.03,0.05,0.16,0.1
"luxurygoods",-0.03,-0.08,-0.08,-0.06,0.23,0.23,0.27,0.17
"shopping.anxiety",-0.18,-0.14,-0.15,-0.17,0.03,0.08,0.12,-0.01
"check.online",-0.14,-0.23,-0.13,-0.17,-0.25,-0.25,-0.27,-0.12
"had.sex",-0.25,-0.2,-0.15,-0.16,-0.08,-0.18,-0.04,-0.22
"sex.age",0.16,0.1,0.18,0.14,-0.09,-0.11,0.02,-0.27
"adultry",0.04,0.16,0.1,0.06,-0.17,-0.09,-0.16,-0.2
"multple.partners",-0.04,0.09,-0.01,-0.02,-0.07,0.05,0.02,-0.03
"inebriated.sex",-0.04,-0.05,-0.04,-0.05,0.1,0.1,0.02,0.17
"age",0.12,0.13,0.15,0.12,0.1,0.01,0.17,-0.05
"marital.status",-0.02,-0.02,0.06,0.01,0.06,0.06,0.02,-0.06
"have.children",0.09,0,0.02,0.05,-0.04,0.08,0.12,0.08
"politcal.affiliation",0.01,-0.02,-0.01,0.04,0.13,0.07,0.1,0.12
"age.firstchild",-0.21,-0.03,-0.2,-0.29,0.18,-0.21,0.36,-0.06
"weight",-0.24,-0.12,-0.2,-0.26,-0.2,-0.15,-0.24,-0.25
"race",0.13,0.12,0.15,0.14,0.16,0.18,0.08,0.09
"employmentstatus",-0.04,-0.03,0.01,0.01,0.06,-0.01,0.08,0.03
"hoseholdincome",0.03,0.07,0.01,-0.03,0.11,0.09,-0.05,0
"expected.householdincome",0.05,0.09,0.04,0.01,0.11,0.12,-0.04,0.02
"english.native",NA,NA,NA,NA,NA,NA,NA,NA
"bmi",-0.12,-0.01,-0.11,-0.15,-0.11,-0.03,-0.11,-0.16
"SingleParent",-0.19,-0.19,-0.26,-0.23,-0.04,-0.05,-0.09,-0.15
"bat.ball",0.06,0.12,0.03,0.13,0.04,0.12,0.07,0.13
"widgets",0.1,0.23,0.15,0.1,-0.03,-0.05,-0.11,-0.1
"lilypads",0.13,0.25,0.17,0.17,-0.04,-0.01,0.05,-0.08
"CRT",0.12,0.26,0.14,0.17,-0.01,0.03,0.01,-0.01
"fighter",-0.25,-0.22,-0.16,-0.28,0.04,0.02,0.15,0.08
"political.knowledge",-0.01,0.09,0.09,0.05,-0.13,-0.07,-0.18,-0.01
"electronic.smoker",-0.24,-0.14,-0.14,-0.2,0.09,0.06,0.03,0.1
"smoker",0.08,0.12,0.09,0.07,0.01,0.03,0,0
"never.smoked",-0.08,-0.12,-0.09,-0.07,-0.01,-0.03,0,0
"never.drank",0.11,0.09,0.12,0.17,0.12,0.11,0.15,0.17
"drinker",0.01,0.04,-0.05,-0.06,0.04,0.04,-0.03,-0.05
"marijuana.user",-0.18,0,-0.04,-0.14,-0.07,-0.1,0.02,-0.13
"gambler",-0.04,0.01,-0.02,-0.12,-0.02,-0.05,0.12,-0.13
"internet.user",0.01,-0.02,0.06,0.04,-0.04,0.09,-0.09,0.03
"speedingticket.had",-0.02,0.08,0.07,-0.03,-0.19,-0.14,-0.08,-0.15
"car.accident.had",-0.37,-0.1,-0.16,-0.3,0.02,-0.23,-0.16,0.01
"gender",-0.18,-0.15,-0.19,-0.23,-0.12,-0.05,-0.12,-0.07
"othergender",NA,NA,NA,NA,NA,NA,NA,NA
"No.Sex.Answer",-0.29,-0.25,-0.16,-0.17,-0.17,-0.3,-0.11,-0.27
"Single",-0.04,-0.1,-0.19,-0.1,-0.13,-0.1,-0.01,-0.05
"Married",0.08,0.13,0.21,0.13,0.18,0.12,0.03,0.17
"Widowed",-0.22,0.03,0.03,-0.01,-0.19,-0.09,-0.09,-0.1
"Divorced",0.1,0.02,0.08,0.05,-0.1,-0.05,-0.08,-0.25
"Separated",-0.12,-0.16,-0.16,-0.12,0.11,0.08,0.12,0.08
"Democrat",-0.03,0,0,-0.04,-0.19,-0.14,-0.1,-0.19
"Republican",-0.04,0,0,-0.05,0.22,0.13,0.11,0.16
"Independent",0.16,0.06,0.04,0.11,0.1,0.16,0.04,0.22
"Other.Political.Party",-0.11,-0.03,-0.01,-0.02,-0.19,-0.1,-0.26,-0.27
"No.Political.Party",-0.08,-0.11,-0.06,-0.03,-0.04,-0.16,0.18,-0.08
"Employed",-0.06,-0.12,-0.15,-0.08,-0.03,0.09,0,-0.07
"Self.Employed",0.13,0.17,0.16,0.09,0.01,-0.05,-0.08,0.13
"Seeking.Work",-0.14,-0.08,-0.04,-0.14,0.01,0.03,-0.06,-0.05
"Not.Seeking.Work",0,0,0.06,0.09,-0.19,-0.38,0.18,-0.25
"Homemaker",0.09,0.11,0.15,0.15,0.1,0.04,0.07,0.06
"Student",NA,NA,NA,NA,NA,NA,NA,NA
"Military",NA,NA,NA,NA,NA,NA,NA,NA
"Retired",-0.22,-0.29,-0.28,-0.24,0.09,0.06,0.09,0.06
"Unable.to.Work",0.03,0.06,0.06,0.07,-0.01,0.06,-0.02,NA
"ss.beta",0.26,-0.11,0.09,0.15,0.25,0.21,0.26,0.2
"ss.delta",0.71,0.94,0.74,0.69,-0.01,-0.04,0.07,0.01
"tds.beta",-0.04,-0.14,0.02,0.09,0.53,0.37,-0.08,0.37
"tds.delta",0.35,0.23,0.2,0.3,0.71,0.44,0.99,0.55
"sl.beta",0.19,0.17,-0.22,0.23,0.16,0.15,0.16,0.18
"sl.delta",0.65,0.69,0.94,0.69,0.03,-0.05,0.05,0.01
"tdl.beta",-0.01,-0.07,-0.09,-0.14,0.08,0.43,-0.06,-0.26
"tdl.delta",0.28,0.2,0.16,0.29,0.69,0.66,0.51,0.98
"ssp.consistent",NA,NA,NA,NA,NA,NA,NA,NA
"ssp.indifference",1,0.82,0.77,0.84,0.29,0.25,0.37,0.31
"ssf.consistent",NA,NA,NA,NA,NA,NA,NA,NA
"ssf.indifference",0.82,1,0.77,0.76,0.15,0.14,0.25,0.23
"slf.consistent",NA,NA,NA,NA,NA,NA,NA,NA
"slf.indifference",0.77,0.77,1,0.8,0.17,0.08,0.2,0.17
"slp.consistent",0.02,0.02,-0.03,NA,0.08,0.09,0.06,0.02
"slp.indifference",0.84,0.76,0.8,1,0.3,0.18,0.35,0.32
"tdsp.consistent",-0.07,-0.06,-0.12,-0.07,NA,-0.08,0.24,0.06
"tdsp.indifference",0.18,0.08,0.06,0.19,1,0.59,0.71,0.67
"tdlp.consistent",0.06,-0.01,0.02,0.06,0.12,NA,0.37,0.16
"tdlp.indifference",0.23,0.1,0.07,0.17,0.66,1,0.56,0.65
"tdsf.consistent",-0.09,-0.04,-0.07,-0.16,0.01,-0.06,NA,0.06
"tdsf.indifference",0.27,0.19,0.13,0.21,0.71,0.42,1,0.57
"tdlf.consistent",-0.1,-0.09,-0.12,-0.15,0.01,-0.08,0.02,NA
"tdlf.indifference",0.19,0.13,0.07,0.17,0.7,0.56,0.54,1
"average",0.64,0.57,0.53,0.6,0.63,0.48,0.69,0.61
"ssp.indifference.consistent",1,0.82,0.77,0.84,0.29,0.25,0.37,0.31
"ssf.indifference.consistent",0.82,1,0.77,0.76,0.15,0.14,0.25,0.23
"slf.indifference.consistent",0.77,0.77,1,0.8,0.17,0.08,0.2,0.17
"slp.indifference.consistent",0.84,0.76,0.8,1,0.3,0.18,0.35,0.32
"tdsp.indifference.consistent",0.29,0.15,0.17,0.3,1,0.69,0.76,0.76
"tdlp.indifference.consistent",0.25,0.14,0.08,0.18,0.69,1,0.47,0.71
"tdsf.indifference.consistent",0.37,0.25,0.2,0.35,0.76,0.47,1,0.58
"tdlf.indifference.consistent",0.31,0.23,0.17,0.32,0.76,0.71,0.58,1
"average.consistent",0.85,0.78,0.75,0.84,0.64,0.55,0.64,0.64
"ssp.hyperbolic",-0.8,-0.53,-0.62,-0.7,-0.15,-0.06,-0.11,-0.1
"ssp.exponential",-0.8,-0.53,-0.62,-0.7,-0.15,-0.06,-0.11,-0.1
"ssf.hyperbolic",-0.47,-0.69,-0.58,-0.49,0.14,0.2,0.13,0.19
"ssf.exponential",-0.64,-0.87,-0.7,-0.63,0.06,0.1,0.01,0.07
"slf.hyperbolic",-0.38,-0.48,-0.72,-0.42,0.13,0.18,0.11,0.16
"slf.exponential",-0.57,-0.64,-0.89,-0.62,0.03,0.1,0.01,0.05
"slp.hyperbolic",NA,NA,NA,NA,NA,0.07,NA,NA
"slp.exponential",NA,NA,NA,NA,NA,0.07,NA,NA
"tdsp.hyperbolic",-0.19,-0.03,-0.1,-0.22,-0.94,-0.65,-0.62,-0.69
"tdsp.exponential",-0.19,-0.03,-0.1,-0.22,-0.94,-0.65,-0.62,-0.69
"tdlp.hyperbolic",-0.05,-0.02,0.04,0.05,-0.29,-0.55,0.1,-0.35
"tdlp.exponential",-0.05,-0.02,0.04,0.05,-0.29,-0.55,0.1,-0.35
"tdsf.hyperbolic",NA,NA,NA,NA,-0.6,-0.36,NA,NA
"tdsf.exponential",NA,NA,NA,NA,-0.69,-0.42,NA,NA
"tdlf.hyperbolic",-0.21,-0.15,-0.13,-0.2,-0.51,-0.52,-0.34,-0.87
"tdlf.exponential",-0.26,-0.19,-0.15,-0.27,-0.65,-0.63,-0.46,-0.96
"Patience",0.86,0.77,0.74,0.84,0.65,0.55,0.64,0.64
"s.Patience",0.94,0.91,0.9,0.93,0.25,0.18,0.32,0.28
"td.Patience",0.37,0.23,0.18,0.35,0.93,0.83,0.81,0.87
"Confused",-0.02,0.05,0.06,0.03,-0.13,0.04,-0.25,-0.1
